,lambda_x,lambda_y,sigma_xx [MPa],sigma_yy [MPa]
106,1.075343397,1.036899863,0.02389652,0.037228555
107,1.077791378,1.037997257,0.02395092,0.038303176
108,1.080103359,1.039231824,0.028941041,0.044944338
109,1.082415341,1.040329218,0.030982716,0.049802242
110,1.084319325,1.041152263,0.033912868,0.050785613
111,1.086631307,1.042386831,0.036966333,0.056516372
112,1.089079287,1.043484225,0.039041525,0.057616564
113,1.091527268,1.044581619,0.043122065,0.065253795
114,1.093975248,1.045816187,0.04712047,0.069218534
115,1.096423229,1.04691358,0.052239278,0.07498633
116,1.09873521,1.048010974,0.05737337,0.080861085
117,1.100775194,1.049108368,0.057479894,0.087699163
118,1.103087175,1.050068587,0.063552348,0.088731486
119,1.105399157,1.051165981,0.07076172,0.094542514
120,1.107847137,1.052400549,0.074869596,0.100473981
121,1.110295118,1.053635117,0.080111829,0.108329682
122,1.112743098,1.05473251,0.088327481,0.116092776
123,1.115191078,1.055967078,0.093620979,0.121111415
124,1.117639059,1.057064472,0.098936864,0.12794606
125,1.119543044,1.058024691,0.102074478,0.133913819
126,1.121991024,1.059122085,0.112558222,0.143751372
127,1.124439004,1.060356653,0.120927322,0.153628898
128,1.127022984,1.061454047,0.128316746,0.159658395
129,1.129470964,1.062688615,0.133759936,0.168515562
130,1.131918945,1.063786008,0.14129578,0.177466454
131,1.134502924,1.065020576,0.152927052,0.186459471
132,1.136542908,1.06611797,0.160373636,0.195447712
133,1.138854889,1.067078189,0.169969015,0.201525352
134,1.141438868,1.068312757,0.174530022,0.213478518
135,1.143886849,1.069410151,0.187352661,0.225429856
136,1.146470828,1.070644719,0.198155452,0.234523563
137,1.148918809,1.071742112,0.209085362,0.243606462
138,1.151502788,1.07297668,0.217874647,0.255658254
139,1.154086767,1.074074074,0.230922894,0.266729125
140,1.155990752,1.075034294,0.23764675,0.273887879
141,1.158438732,1.076131687,0.253934855,0.284021881
142,1.161022712,1.077366255,0.263950842,0.298120659
143,1.163606691,1.078600823,0.277201228,0.309317231
144,1.16619067,1.079698217,0.292640805,0.322455771
145,1.16877465,1.080932785,0.303870721,0.334682938
146,1.171358629,1.082167353,0.317289827,0.348997622
147,1.173534612,1.083264746,0.334942983,0.359271267
148,1,1,0.000454752,0.001154324
149,1.001465104,1.001364256,0.002277092,0.000266746
150,1.003063399,1.002864939,-0.000456145,0.000267146
151,1.004528503,1.004502046,0.000456812,0.001159521
152,1.006126798,1.006002729,0.001372615,0.000267982
153,1.007725093,1.007503411,-0.000458265,0.000268381
154,1.009190197,1.009140518,0.001376794,0.001164875
155,1.010788492,1.010641201,-0.000459658,0.000269217
156,1.012386787,1.012278308,0.000460385,0.000269653
157,1.013851891,1.01377899,0.002305257,0.000270053
158,1.015050613,1.015143247,-0.000461596,0.001171804
159,1.016648908,1.016507503,0.003236263,0.001173379
160,1.018114012,1.018008186,0.002314948,0.002079044
161,1.019712307,1.019645293,0.003246015,0.002987773
162,1.021310602,1.021145975,0.004179989,0.00299217
163,1.022908897,1.022783083,0.00511687,0.005721482
164,1.024507192,1.024283765,0.006056659,0.005729877
165,1.026105487,1.025920873,0.003266366,0.005739035
166,1.027703783,1.027421555,0.006075557,0.007572011
167,1.029302078,1.029058663,0.006085005,0.007584076
168,1.030500799,1.03042292,0.006092092,0.008600582
169,1.032099094,1.031787176,0.007040239,0.01136047
170,1.033697389,1.033287858,0.007051142,0.011376993
171,1.035162493,1.034924966,0.007061136,0.015070831
172,1.03689398,1.036562074,0.012636998,0.016935484
173,1.038492275,1.038199181,0.009822937,0.016962231
174,1.039957379,1.039699864,0.013620178,0.018925455
175,1.041688865,1.041336971,0.014590276,0.018955255
176,1.04328716,1.042974079,0.016510411,0.022689456
177,1.044752264,1.044474761,0.020239403,0.022722102
178,1.046084177,1.045975443,0.019408929,0.030277748
179,1.047682472,1.0473397,0.018485712,0.031247215
180,1.049280767,1.048976808,0.023190107,0.03688464
181,1.050879062,1.050613915,0.02418121,0.037968377
182,1.052477357,1.052251023,0.023260755,0.044567904
183,1.054075653,1.053888131,0.030006883,0.048473988
184,1.055673948,1.055525239,0.032836789,0.051361022
185,1.057272243,1.057025921,0.037694472,0.054249776
186,1.058870538,1.058663029,0.038714503,0.060067988
187,1.060602025,1.060300136,0.044565542,0.066751269
188,1.061800746,1.061800819,0.045485052,0.070711296
189,1.063399041,1.063165075,0.047487852,0.076466321
190,1.064997336,1.064802183,0.053370944,0.084242474
191,1.066728823,1.066439291,0.055398104,0.088254433
192,1.068327118,1.068076398,0.059270536,0.095028641
193,1.070058604,1.069713506,0.061313044,0.100968341
194,1.071656899,1.07148704,0.069202037,0.109793646
195,1.073255194,1.073124147,0.074088285,0.120538274
196,1.074986681,1.074761255,0.077140927,0.125493789
197,1.076584976,1.076398363,0.084011815,0.136294092
198,1.077916889,1.077899045,0.091958712,0.144236713
199,1.079515184,1.079263302,0.093076889,0.152181684
200,1.081113479,1.080900409,0.099016032,0.160186715
201,1.082844965,1.082673943,0.107053431,0.169197846
202,1.084443261,1.08431105,0.111058037,0.180140825
203,1.086174747,1.085948158,0.118150523,0.193044594
204,1.087773042,1.087585266,0.126140121,0.19912989
205,1.089504529,1.089222374,0.130304543,0.213163391
206,1.091102824,1.090859482,0.139327728,0.226172695
207,1.09283431,1.092633015,0.147500329,0.234398985
208,1.094166223,1.094133697,0.153551476,0.248419452
209,1.095764518,1.095497954,0.162645538,0.257581121
210,1.097496004,1.097271487,0.166895254,0.271735942
211,1.099094299,1.098908595,0.175135354,0.285021489
212,1.100825786,1.100682128,0.186324401,0.300239345
213,1.102557272,1.102319236,0.192533876,0.313508126
214,1.104288759,1.104092769,0.20378371,0.330874898
215,1.105887054,1.105729877,0.213130938,0.345209221
216,1.10761854,1.107503411,0.223437737,0.362677373
217,1.109350027,1.109140518,0.234784676,0.382122644
218,1.110681939,1.110777626,0.241127584,0.39757988
219,1.112280234,1.112141883,0.250478023,0.412090932
220,1.114011721,1.113915416,0.263938202,0.428672475
221,1.115743207,1.115552524,0.275409465,0.449311512
222,1.117474694,1.117326057,0.284882362,0.468082431
223,1.11920618,1.119099591,0.298454981,0.492872844
224,1.120937666,1.120736698,0.313087728,0.510710419
225,1.122669153,1.122510232,0.323782072,0.531652422
226,1.124400639,1.124283765,0.337473589,0.556651241
227,1.125998934,1.125920873,0.353109989,0.578656545
228,1.127464038,1.127557981,0.364849209,0.603727102
229,1,1,0.000455996,0.001166756
230,1.002019386,1,0.000456917,0.000269251
231,1.004038772,1,-0.000457838,0.000269251
232,1.006058158,1,0.001376277,0.002064261
233,1.00821217,1,0.000459741,0.000269251
234,1.010231556,1,0.000460662,0.001166756
235,1.012385568,1,0.002308221,0.001166756
236,1.014404954,1,-0.000462565,0.000269251
237,1.01642434,1,0.002317429,0.001166756
238,1.018578352,1,0.001393404,0.000269251
239,1.020193861,1,-0.000465205,0.000269251
240,1.022213247,1,0.001398377,0.001166756
241,1.024367259,1,-0.000467108,0.000269251
242,1.026386645,1,0.000468029,0.001166756
243,1.028540657,1,0.001407032,0.002064261
244,1.030694669,1,0.000469993,0.000269251
245,1.032848681,1,0.000470975,0.001166756
246,1.034868067,1,0.003303272,0.001166756
247,1.037022079,1,-0.000472878,0.000269251
248,1.03917609,1,0.002369303,0.001166756
249,1.040791599,1,0.001423792,0.000269251
250,1.042810985,1,0.00237759,0.000269251
251,1.044964997,1,0.002382501,0.001166756
252,1.047119009,1,0.003342377,0.002064261
253,1.049273021,1,0.003349253,0.002064261
254,1.051427033,1,0.003356128,0.001166756
255,1.053581045,1,0.006245578,0.003859271
256,1.055735057,1,0.004332702,0.002961766
