mean_strain,mean_stress,std_stress
1.0,0.595627608195365,0.13500601911039553
0.9997544150808206,0.5950192022538182,0.13488927640707823
0.9995219825709127,0.5960687205887752,0.13598369044834707
0.9993390118408925,0.6070194849629471,0.13217370501293726
0.9991398112527153,0.625473862330232,0.1635245324040899
0.9989153612389624,0.6343941351747532,0.1590026158584531
0.9986992040814292,0.6515633363765712,0.16292681322981226
0.9984037282885526,0.6766917315961029,0.15102098726039231
0.998194732388601,0.6917145113608586,0.16808874292963272
0.9979628127556167,0.6974471638962948,0.17176434988828568
0.9977393463008343,0.7140822917493055,0.16644224425730808
0.9975146591886523,0.730377768485127,0.1872518170314724
0.9973057080403449,0.7365421288037001,0.183075147063972
0.9971044168933908,0.7485103996663206,0.18592995646252014
0.9969055463633164,0.7648666446531408,0.18207596536493054
0.9966878777215181,0.7785384159805143,0.20040020092913996
0.9964009458745392,0.7814460682760692,0.2009371430520421
0.9961815764138934,0.7932457795853245,0.1992370371094803
0.9959531180957476,0.8100530841494983,0.21556441957256167
0.995741860779604,0.8156191665683575,0.21257365754574695
0.9955090044026194,0.8213820223714033,0.21474635413244522
0.9952871423819766,0.8369309177378118,0.20818218845671854
0.9950959479900977,0.8483900736404283,0.22960795364799652
0.9948893359927194,0.8534850212561575,0.22733804870577706
0.9946622336770332,0.8615288567663337,0.228734132820505
0.9943869257918766,0.8752519917344326,0.2262107705044183
0.9941695120116983,0.8855997759037539,0.24261225786876925
0.9939424546680752,0.8895634574183017,0.2436345629140849
0.9937212311720423,0.9035289419588356,0.23760135776416635
0.9934918598118572,0.9124696517449127,0.2555526260115659
0.993275174674044,0.9181775267494355,0.2534646500040458
0.9930927930485125,0.9257549297616188,0.254559782604946
0.9928956508589323,0.9364555676740903,0.251611088040944
0.9926712889007878,0.9462870025678125,0.2656188853045774
0.9923927584293011,0.948387124385066,0.2656607454290041
0.9921600748805173,0.9580000829478164,0.2637070636552315
0.9919391337344973,0.9723987221346063,0.2778434735874741
0.9917141796422243,0.9772256383575377,0.274861810619101
0.9914954212917112,0.9854219370688804,0.2756668777716406
0.9912750141595005,0.9968756672348005,0.27406900386615274
0.9910989045017143,1.0026616728477504,0.28950387845732406
0.9908897027518164,1.008176029910105,0.28641841672039936
0.990659424178586,1.0167257249382675,0.28446839503504684
0.9903953638495147,1.0273437107950654,0.28318796071716296
0.9901669270819716,1.0374710291966267,0.29769750200448264
0.9899352374071078,1.043212001194997,0.29833811447178027
0.989713459968662,1.0534552495039693,0.29535369035586434
0.9894863559465409,1.0613855062593027,0.3103213215839612
0.9892639840728722,1.066420228197703,0.3081953662296616
0.9890966630187953,1.0729853696002438,0.3087628077017294
0.9888780633806146,1.083598291436125,0.30685247392902965
0.9886562369757527,1.0911084153132737,0.3203152471985542
0.9883771002825287,1.0947465526260425,0.32051367944056464
0.9881571443079523,1.101491466771121,0.318079067750876
0.98792047944717,1.113063477997021,0.3299717556690846
0.987694456382173,1.1175330190295552,0.32751250856946124
0.9874675054350616,1.1258597162794992,0.3282021239725343
0.9872527569951636,1.136954624391903,0.3263546311592939
0.9870724518813282,1.14847219739295,0.3370762299198156
0.9868658544805483,1.1516104434980983,0.33715764637978285
0.9866467094371099,1.1562461929314296,0.33679035088706466
0.9863819954710201,1.1637002508627166,0.3362279608915171
0.9861489003081527,1.1730757430160583,0.3438010373683973
0.9859132484625572,1.1758385281418218,0.3439719569428135
0.9856902094570046,1.1891789678149403,0.33857526417472206
0.9854735871916034,1.197641670198072,0.3541603314710876
0.9852538121025348,1.1998130500239372,0.35406194523844964
0.9850523001321896,1.2073503025845673,0.35453543628024986
0.9848668328957747,1.2167972336044106,0.352372221340158
0.9846413198730878,1.2259898784310868,0.36373100513197787
0.9843721358212014,1.2289827147927739,0.36387055098516163
0.984139750194332,1.237459343233426,0.36277490306722765
0.9839103676893786,1.2492281278435124,0.37467022018648927
0.983696604619218,1.2540364157037862,0.37312775096725553
0.9834699042450367,1.2606610593520964,0.3734226785425346
0.9832455415303678,1.2696780911677017,0.3710921524955089
0.983069113258683,1.2798108353059592,0.38146834331677787
0.9828696905336739,1.2835318055322917,0.3816357719031886
0.9826321311685265,1.2908089844472788,0.38002659903795205
0.9823733129634665,1.296585766307845,0.3800870726155831
0.9821339822313738,1.3046339424073785,0.3921013441633251
0.9819142377840979,1.3096312267625743,0.39235137624974215
0.9816904349156815,1.319977744926666,0.3889865176659893
0.9814678852250693,1.327315692092652,0.4027532790765083
0.9812429294419546,1.332437768391863,0.40010669156703405
0.9810506535735364,1.3416376475341338,0.39950282861234127
0.9808558980272456,1.351245180360188,0.39873616196542455
0.98062565556652,1.3586675881607464,0.4085313411877473
0.9803674749507952,1.3634952278152372,0.4088443235212126
0.9801335683262404,1.3720069426865258,0.40647324921678846
0.979902183259343,1.3819875853393966,0.4186964444033544
0.979675879152108,1.385567124695845,0.41732197825368844
0.9794361145635676,1.3920251982275784,0.41764211840317894
0.9792238431012193,1.4016781263839917,0.41510977968566093
0.9790492352497839,1.4127032233509031,0.42726034392654244
0.9788431887818739,1.4163616167473383,0.42769806597080723
0.9786282629912111,1.4216555080419324,0.4261788069282738
0.9783670418144897,1.4328999856292648,0.43519274111724693
0.978116653732783,1.43635220103124,0.4347081719898912
0.9779027009615212,1.4435532387745886,0.43549505025404944
0.977681619360154,1.4530314582093808,0.43325189157557287
0.9774420566658112,1.4577399125144426,0.44087322642369675
0.9772230866904923,1.4619457627435357,0.4414733705069152
0.9770383975001969,1.4665820547505364,0.4417317488998357
