D,D.1,D.2,H,H.1,H.2,Region,Shoe Length,32
7.63,7.66,7.71,9.92,9.97,9.82,24,,
7.9,7.72,7.62,9.79,9.8,9.62,24,,
7.73,7.6,7.59,10.09,10.09,10.05,24,,
7.68,7.74,7.77,10.01,10.08,9.93,24,,
7.68,7.66,7.64,10.78,10.76,10.66,27,,
