W,W.1,W.2,H,H.1,H.2,G,Region
10.57,10.57,10.41,3.97,3.91,3.87,18.865,14
10.07,9.98,9.93,4.01,4.26,4.45,18.535,14
9.83,9.7,9.9,5.58,5.52,5.48,16.415,15
10.41,10.21,90.25,4.28,4.16,4.07,18.075,15
10.22,10.02,10.11,3.46,3.72,3.5,16.41,14
