D,D.1,D.2,H,H.1,H.2,Region
7.82,7.76,7.82,9.58,9.4,9.4,27
7.87,7.58,7.77,10.22,10.07,10.0,27
7.6,7.6,7.46,8.77,8.91,8.68,25
7.68,7.67,7.68,10.48,10.57,10.62,25
7.9,7.92,8.0,9.82,9.55,9.77,28
