W,W.1,W.2,H,H.1,H.2,G
9.28,9.36,9.08,4.62,4.82,4.48,17.1
9.61,9.35,9.6,4.14,4.15,4.04,16.64
9.08,9.27,9.31,4.28,4.59,4.31,14.575
9.12,9.04,9.05,4.28,4.32,4.15,17.785
9.65,9.45,9.43,4.32,4.27,4.01,16.725
