D,D.1,D.2,H,H.1,H.2
7.72,7.66,7.7,8.95,9.1,9.02
7.41,7.39,7.68,10.25,10.19,10.3
7.56,7.57,7.56,9.09,9.0,8.97
7.32,7.2,7.46,8.94,8.92,8.62
7.5,7.6,7.39,9.41,9.4,9.33
