D,D.1,D.2,H,H.1,H.2,Region,Shoe Length,32
7.41,7.46,7.24,10.63,10.67,10.7,16,,
7.44,7.44,7.62,10.43,10.45,10.37,16,,
7.46,7.42,7.24,10.67,10.64,10.35,16,,
7.5,7.44,7.29,11.62,11.34,11.16,16,,
7.14,7.28,7.58,9.96,10.28,10.35,17,,
