D,D.1,D.2,H,H.1,H.2
7.55,7.59,7.64,9.0,9.04,9.09
7.52,7.49,7.65,9.18,9.32,9.33
7.55,7.82,7.83,9.69,9.71,9.76
7.7,7.73,7.62,9.82,9.72,9.71
7.55,7.14,7.37,9.4,9.32,9.25
