D,D.1,D.2,H,H.1,H.2
7.07,7.23,7.2,9.81,9.75,9.86
7.54,7.51,7.58,9.48,9.55,9.61
7.54,7.77,7.66,9.51,9.32,9.5
7.68,7.28,7.22,9.76,9.72,9.81
7.34,7.15,7.59,9.21,9.56,9.76
