D,D.1,D.2,H,H.1,H.2
7.19,7.62,7.68,8.7,8.72,8.78
7.24,7.39,7.48,9.61,9.58,9.53
7.74,7.36,7.33,9.0,8.88,8.85
7.28,7.56,7.83,9.0,8.88,8.83
7.21,7.29,7.2,9.33,9.25,9.3
