W,W.1,W.2,H,H.1,H.2,G
9.77,9.88,9.81,5.1,4.79,4.84,17.635
9.4,9.29,9.42,5.26,4.98,4.88,16.83
9.03,8.96,9.2,4.65,4.6,4.68,17.32
9.36,9.47,9.65,4.23,4.33,4.8,14.985
9.1,9.1,9.12,4.61,4.32,4.44,17.325
