W,W.1,W.2,H,H.1,H.2,G,Region
10.11,9.85,9.93,5.47,5.28,5.1,17.845,6
9.63,9.39,9.66,5.35,5.29,5.2,18.565,6
10.19,10.23,10.1,5.1,5.06,5.28,18.115,7
9.81,9.86,9.88,4.73,4.9,5.01,17.855,6
9.85,9.7,9.41,5.29,5.38,5.36,17.645,7
