D,D.1,D.2,H,H.1,H.2
7.64,7.79,7.59,8.88,8.98,9.14
7.4,7.39,7.11,8.34,8.3,8.21
7.46,7.17,7.39,9.5,9.53,9.29
7.64,7.49,7.48,10.09,10.29,10.07
7.28,7.42,7.42,8.9,9.0,8.87
