D,D.1,D.2,H,H.1,H.2,Region
7.76,7.64,7.74,9.35,9.24,9.15,13
7.61,7.63,7.74,9.51,9.58,9.6,13
7.5,7.39,7.3,10.42,10.29,10.32,17
7.64,7.58,7.38,10.13,10.18,10.01,18
7.17,7.3,7.44,9.57,9.41,9.35,18
