time,width,height
-0.03334637375865235,7.563333333333332,9.001072904066422
0.0,7.563333333333332,9.001072904066422
0.03334637375865235,7.563333333333332,9.001072904066422
0.06669274751730292,7.558374680852529,8.950505078762678
0.10003912127595527,7.562613133498358,8.950505078762678
0.13338549503460762,7.562613133498358,8.950505078762678
0.16673186879325996,7.564789056404026,8.899937253458933
0.2000782425519123,7.564841155966553,8.798801602851446
0.23342461631056288,7.5670415963134126,8.748233777547702
0.26677099006921345,7.58802546129244,8.647098126940215
0.3001173638278658,7.584697218650813,8.647098126940215
0.3334637375865199,7.625175514056536,8.545962476332727
0.3668101113451723,7.631350844556423,8.444826825725238
0.40015648510382107,7.644642362361891,8.444826825725238
0.4335028588624734,7.667002268727739,8.343691175117751
0.46684923262112576,7.66627593953247,8.293123349814007
0.5001956063797763,7.691072266616637,8.19198769920652
0.5335419801384269,7.692053985824311,8.141419873902775
0.566888353897081,7.68141239478753,8.040284223295288
0.6002347276557334,7.6839070444286754,7.989716397991543
0.633581101414384,7.705065596176187,7.888580747384055
0.6669274751730363,7.713662023993647,7.838012922080312
0.7002738489316869,7.728806651729109,7.787445096776567
0.7336202226903392,7.7416670711936355,7.736877271472824
0.7669665964489916,7.734722505976392,7.6357416208653355
0.8003129702076439,7.763463076412107,7.585173795561592
0.8336593439662963,7.763821643989519,7.484038144954104
0.8670057177249468,7.784189508258631,7.433470319650359
0.9003520914835992,7.781783734341801,7.382902494346616
0.9336984652422515,7.788777334441425,7.281766843739128
0.9670448390009039,7.7979223400055275,7.1806311931316396
1.0003912127595562,7.78735225817222,7.130063367827896
1.0337375865182068,7.781887933466859,7.028927717220408
1.0670839602768574,7.782942183438056,6.978359891916664
1.1004303340355097,7.787352258172222,6.877224241309176
1.1337767077941638,7.802246603695525,6.826656416005433
1.1671230815528126,7.7948760479375965,6.7255207653979445
1.200469455311465,7.7948760479375965,6.7255207653979445
1.2338158290701173,7.7945654936825095,6.624385114790456
1.2671622028287697,7.802752275920084,6.573817289486713
1.3005085765874203,7.816685333436705,6.472681638879225
1.3338549503460726,7.826077556532813,6.371545988271737
1.3672013241047232,7.830656188675161,6.320978162967993
1.4005476978633755,7.8277753893352635,6.270410337664249
1.4338940716220279,7.826070405612462,6.169274687056761
1.4672404453806802,7.820450803779564,6.068139036449273
1.5005868191393326,7.814777059264032,6.017571211145529
1.5339331928979831,7.827312622632789,5.967003385841785
1.5672795666566355,7.837081801387206,5.815299909930554
