time,width,height
-0.016680659203978543,7.3566666666666665,9.713151697717487
0.01668065920398165,7.356288417540063,9.713151697717487
0.050041977611941846,7.36417312601191,9.670550155183639
0.08340329601990204,7.362546955989803,9.649249383916715
0.11676461442786223,7.368478883418962,9.81965555405211
0.15012593283582243,7.374216307315439,9.798354782785186
0.18348725124378262,7.372378421058643,9.755753240251337
0.21684856965174282,7.375962966251602,9.734452468984411
0.250209888059703,7.396160350786602,9.62794861264979
0.2835712064676632,7.410763176851775,9.62794861264979
0.3169325248756234,7.415763036467259,9.542745527582094
0.35029384328358315,7.417170067276938,9.457542442514397
0.3836551616915438,7.428567135172705,9.414940899980547
0.417016480099504,7.4381632165416,9.32973781491285
0.4503777985074642,7.437675236439703,9.265835501112077
0.48373911691542437,7.447940891916671,9.116730102243608
0.5171004353233846,7.457957823849636,9.095429330976684
0.5504617537313448,7.455988260422486,9.03152701717591
0.583823072139305,7.466041339029666,8.925023160841288
0.6171843905472651,7.479449173258012,8.861120847040516
0.6505457089552253,7.477752861475221,8.733316219438969
0.683907027363186,7.484878920106117,8.733316219438969
0.7172683457711457,7.49284323732475,8.605511591837423
0.7506296641791059,7.49142103782142,8.54160927803665
0.7839909825870661,7.4931233740499135,8.477706964235878
0.8173523009950268,7.498027272851702,8.413804650435104
0.8507136194029865,7.50253269760203,8.307300794100483
0.8840749378109467,7.508976702915898,8.200796937765862
0.9174362562189069,7.512503155239579,8.200796937765862
0.9507975746268671,7.50680919341567,8.13689462396509
0.9841588930348273,7.5078729383997,8.094293081431239
1.0175202114427875,7.508296370869073,8.009089996363542
1.0508815298507477,7.51570686940063,7.987789225096618
1.0842428482587079,7.5192057814011015,7.902586140028921
1.117604166666668,7.526211351117944,7.8173830549612235
1.1509654850746283,7.518664011605431,7.7108791986266025
1.1843268034825885,7.516709509292537,7.7108791986266025
1.2176881218905486,7.528533774936236,7.604375342291981
1.2510494402985088,7.524735792238396,7.519172257224284
1.284410758706469,7.535464899716902,7.45526994342351
1.3177720771144292,7.537551509517697,7.391367629622738
1.3511333955223894,7.547723786086278,7.284863773288116
1.3844947139303496,7.548435100996715,7.220961459487343
1.4178560323383098,7.552221465120707,7.1357583744196456
1.45121735074627,7.557962331557585,7.050555289351949
1.4845786691542302,7.560601469092808,6.986652975551175
1.5179399875621904,7.564024645204447,6.9014498904834785
1.5513013059701506,7.5673342174828395,6.816246805415781
1.5846626243781108,7.577039599509479,6.794946034148857
1.618023942786071,7.567321307956336,6.731043720348084
1.6513852611940312,7.573181372354614,6.6671414065473105
1.6847465796019914,7.581112555121884,6.624539864013462
1.7181078980099516,7.589900069813999,6.539336778945765
1.7514692164179118,7.589316989533514,6.432832922611143
1.784830534825872,7.597189218796409,6.368930608810371
1.8181918532338321,7.602372824005815,6.283727523742673
1.8515531716417923,7.598467261920425,6.198524438674976
1.884914490049753,7.603720578572961,6.155922896141127
1.9182758084577132,7.606855872243533,6.049419039806506
1.951637126865673,7.615189832237766,5.964215954738808
1.9849984452736336,7.61972753080436,5.836411327137262
2.0183597636815933,7.607960497394834,5.77250901333649
2.051721082089554,7.613651446995894,5.751208242069565
2.0850824004975137,7.614631710375191,5.666005157001868
2.1184437189054743,7.622559020284511,5.5382005294003225
2.151805037313434,7.624221767298383,5.495598986866473
2.1851663557213947,7.638858158132475,5.346493587998003
2.2185276741293545,7.63594103545984,5.3038920454641545
2.251888992537315,7.646508773857031,5.28259127419723
2.285250310945275,7.654951173873908,5.218688960396458
2.3186116293532355,7.6622364499983675,5.112185104061836
2.3519729477611953,7.66221966761391,5.048282790261063
2.385334266169156,7.655094899935672,4.920478162659517
2.4186955845771156,7.6606210379150115,4.877876620125669
2.4520569029850763,7.68113599680204,4.856575848858744
2.485418221393036,7.6841955545837815,4.792673535057971
2.5187795398009967,7.6897337414545275,4.792673535057971
2.5521408582089564,7.685287270208572,4.771372763791047
2.585502176616917,7.683028963705258,4.771372763791047
2.618863495024877,7.68259563393223,4.813974306324895
2.6522248134328374,7.6779408889919925,4.941778933926441
2.685586131840797,7.689840890524523,5.026982018994138
2.718947450248758,7.687131180911074,5.154786646595684
2.7523087686567176,7.674877458352297,5.176087417862608
2.7856700870646782,7.669553139303987,5.28259127419723
2.819031405472638,7.681366216691381,5.325192816731079
2.8523927238805986,7.681883458386691,5.452997444332625
2.8857540422885584,7.66461051192268,5.559501300667247
2.919115360696519,7.662479149096668,5.623403614468019
2.9524766791044788,7.668713159446047,5.687305928268792
2.9858379975124394,7.659571063092583,5.793809784603414
3.019199315920399,7.6605715513967425,5.92161441220496
3.05256063432836,7.657380746762195,5.9855167260057325
3.0859219527363195,7.651999625797265,6.028118268539581
3.11928327114428,7.641526126943557,6.155922896141127
3.15264458955224,7.650440585312978,6.155922896141127
3.1860059079602006,7.651668711601176,6.198524438674976
3.2193672263681603,7.652794422312433,6.3263290662765215
